k,distance,std,TP,TN,FP,FN,Acc
1,euclidean,50,303,1,321,607,0.246753246753
1,max,50,203,2,320,707,0.166396103896
1,mahattan,50,444,0,322,466,0.36038961039
1,braycurtis,50,400,0,322,510,0.324675324675
1,canberra,50,700,19,303,210,0.583603896104
1,chebyshev,50,203,12,310,707,0.174512987013
1,cosine,50,314,0,322,596,0.25487012987
1,dice,50,407,47,275,503,0.368506493506
1,hamming,50,863,48,274,47,0.739448051948
1,matching,50,433,53,269,477,0.394480519481
1,russellrao,50,328,95,227,582,0.343344155844
1,sokalmichener,50,393,44,278,517,0.354707792208
1,sokalsneath,50,297,70,252,613,0.29788961039
2,euclidean,50,713,0,322,197,0.578733766234
2,max,50,545,0,322,365,0.44237012987
2,mahattan,50,878,0,322,32,0.712662337662
2,braycurtis,50,879,0,322,31,0.713474025974
2,canberra,50,879,0,322,31,0.713474025974
2,chebyshev,50,524,0,322,386,0.425324675325
2,cosine,50,809,0,322,101,0.656655844156
2,dice,50,719,8,314,191,0.590097402597
2,hamming,50,885,11,311,25,0.727272727273
2,matching,50,589,26,296,321,0.499188311688
2,russellrao,50,488,48,274,422,0.435064935065
2,sokalmichener,50,711,0,322,199,0.57711038961
2,sokalsneath,50,630,14,308,280,0.522727272727
3,euclidean,50,438,0,322,472,0.355519480519
3,max,50,338,0,322,572,0.274350649351
3,mahattan,50,741,0,322,169,0.601461038961
3,braycurtis,50,756,0,322,154,0.613636363636
3,canberra,50,847,11,311,63,0.696428571429
3,chebyshev,50,370,0,322,540,0.300324675325
3,cosine,50,498,0,322,412,0.404220779221
3,dice,50,545,25,297,365,0.462662337662
3,hamming,50,877,28,294,33,0.734577922078
3,matching,50,555,35,287,355,0.478896103896
3,russellrao,50,508,56,266,402,0.457792207792
3,sokalmichener,50,522,25,297,388,0.443993506494
3,sokalsneath,50,509,22,300,401,0.431006493506
4,euclidean,50,317,0,322,593,0.257305194805
4,max,50,270,0,322,640,0.219155844156
4,mahattan,50,596,0,322,314,0.483766233766
4,braycurtis,50,603,0,322,307,0.489448051948
4,canberra,50,775,3,319,135,0.631493506494
4,chebyshev,50,279,0,322,631,0.226461038961
4,cosine,50,376,0,322,534,0.305194805195
4,dice,50,482,76,246,428,0.452922077922
4,hamming,50,910,3,319,0,0.741071428571
4,matching,50,490,17,305,420,0.411525974026
4,russellrao,50,208,164,158,702,0.301948051948
4,sokalmichener,50,496,23,299,414,0.421266233766
4,sokalsneath,50,471,19,303,439,0.397727272727
1,euclidean,100,551,5,317,359,0.451298701299
1,max,100,346,35,287,564,0.309253246753
1,mahattan,100,676,0,322,234,0.548701298701
1,braycurtis,100,693,24,298,217,0.581980519481
1,canberra,100,790,15,307,120,0.653409090909
1,chebyshev,100,356,23,299,554,0.30762987013
1,cosine,100,555,8,314,355,0.456980519481
1,dice,100,452,173,149,458,0.507305194805
1,hamming,100,896,78,244,14,0.790584415584
1,matching,100,484,236,86,426,0.584415584416
1,russellrao,100,314,129,193,596,0.359577922078
1,sokalmichener,100,470,147,175,440,0.500811688312
1,sokalsneath,100,467,192,130,443,0.534902597403
2,euclidean,100,885,0,322,25,0.718344155844
2,max,100,703,11,311,207,0.579545454545
2,mahattan,100,910,0,322,0,0.738636363636
2,braycurtis,100,902,0,322,8,0.732142857143
2,canberra,100,910,0,322,0,0.738636363636
2,chebyshev,100,643,0,322,267,0.521915584416
2,cosine,100,895,8,314,15,0.732954545455
2,dice,100,757,83,239,153,0.681818181818
2,hamming,100,910,13,309,0,0.749188311688
2,matching,100,599,138,184,311,0.598214285714
2,russellrao,100,589,73,249,321,0.537337662338
2,sokalmichener,100,698,131,191,212,0.67288961039
2,sokalsneath,100,688,101,221,222,0.640422077922
3,euclidean,100,756,0,322,154,0.613636363636
3,max,100,418,0,322,492,0.339285714286
3,mahattan,100,893,0,322,17,0.724837662338
3,braycurtis,100,833,0,322,77,0.676136363636
3,canberra,100,910,0,322,0,0.738636363636
3,chebyshev,100,455,3,319,455,0.371753246753
3,cosine,100,704,0,322,206,0.571428571429
3,dice,100,528,122,200,382,0.527597402597
3,hamming,100,885,8,314,25,0.724837662338
3,matching,100,521,226,96,389,0.606331168831
3,russellrao,100,303,100,222,607,0.32711038961
3,sokalmichener,100,573,123,199,337,0.564935064935
3,sokalsneath,100,477,114,208,433,0.479707792208
4,euclidean,100,695,0,322,215,0.564123376623
4,max,100,370,15,307,540,0.3125
4,mahattan,100,851,0,322,59,0.690746753247
4,braycurtis,100,837,0,322,73,0.679383116883
4,canberra,100,910,0,322,0,0.738636363636
4,chebyshev,100,401,5,317,509,0.329545454545
4,cosine,100,712,0,322,198,0.577922077922
4,dice,100,444,171,151,466,0.499188311688
4,hamming,100,910,4,318,0,0.741883116883
4,matching,100,505,205,117,405,0.576298701299
4,russellrao,100,106,169,153,804,0.223214285714
4,sokalmichener,100,509,174,148,401,0.554383116883
4,sokalsneath,100,550,185,137,360,0.596590909091
1,euclidean,150,725,11,311,185,0.597402597403
1,max,150,539,58,264,371,0.484577922078
1,mahattan,150,859,13,309,51,0.707792207792
1,braycurtis,150,790,29,293,120,0.664772727273
1,canberra,150,849,33,289,61,0.715909090909
1,chebyshev,150,439,10,312,471,0.364448051948
1,cosine,150,691,29,293,219,0.584415584416
1,dice,150,418,239,83,492,0.533279220779
1,hamming,150,896,63,259,14,0.778409090909
1,matching,150,474,307,15,436,0.633928571429
1,russellrao,150,0,210,112,910,0.170454545455
1,sokalmichener,150,439,282,40,471,0.585227272727
1,sokalsneath,150,510,235,87,400,0.604707792208
2,euclidean,150,894,0,322,16,0.725649350649
2,max,150,745,15,307,165,0.616883116883
2,mahattan,150,910,0,322,0,0.738636363636
2,braycurtis,150,910,0,322,0,0.738636363636
2,canberra,150,910,13,309,0,0.749188311688
2,chebyshev,150,757,0,322,153,0.614448051948
2,cosine,150,888,5,317,22,0.724837662338
2,dice,150,734,150,172,176,0.717532467532
2,hamming,150,910,10,312,0,0.746753246753
2,matching,150,565,255,67,345,0.665584415584
2,russellrao,150,381,113,209,529,0.400974025974
2,sokalmichener,150,670,210,112,240,0.714285714286
2,sokalsneath,150,726,202,120,184,0.753246753247
3,euclidean,150,867,0,322,43,0.703733766234
3,max,150,702,3,319,208,0.57224025974
3,mahattan,150,910,0,322,0,0.738636363636
3,braycurtis,150,910,37,285,0,0.768668831169
3,canberra,150,910,17,305,0,0.752435064935
3,chebyshev,150,655,16,306,255,0.544642857143
3,cosine,150,780,12,310,130,0.642857142857
3,dice,150,552,259,63,358,0.658279220779
3,hamming,150,910,1,321,0,0.739448051948
3,matching,150,530,297,25,380,0.671266233766
3,russellrao,150,301,124,198,609,0.344967532468
3,sokalmichener,150,502,240,82,408,0.602272727273
3,sokalsneath,150,560,268,54,350,0.672077922078
4,euclidean,150,858,0,322,52,0.696428571429
4,max,150,608,5,317,302,0.497564935065
4,mahattan,150,896,0,322,14,0.727272727273
4,braycurtis,150,875,8,314,35,0.716720779221
